hold to change name				Signature								
												
												
				Operator ID		Carl						
Profile		KM Meters Gauge X-Level										
Start Location		0km 0.0m										
Start Position												
End Location		1km 792.75m										
End Position												
Direction Of Travel		Increment										
Job Reference		Maintenance										
Route ID		Hebron to Llanberis										
Track ID		Straights										
System Security		Operator										
Start Time		31/05/2017 09:35										
End Time		31/05/2017 10:28										
Software Version		AMB04S00r011CB (28)										
Displacement Units		Millimetres										
Profile ID		simple										
Profile Security		Operator										
Profile Lock		Unlocked										
Profile Format		14										
X-Level Polarity		Clockwise Positive										
Acquisition Rate		125.0mm (125.0mm)										
Twist Base 1		3.0m										
Twist Base 2		5.0m										
Twist Ratio Base 1		3.0m										
Twist Ratio Base 2		5.0m										
0	30.5	805	8.8									
0	30.625	804.9	8.7									
0	30.75	804.7	8.4									
0	30.875	804.6	8.3									
0	31	804.5	8.1									
0	31.125	804.3	7.9									
0	31.25	804.3	7.7									
0	31.375	804.3	7.7									
0	31.5	804.2	7.6									
0	31.625	804.2	7.6									
0	31.75	804.2	7.7									
0	31.875	804.1	7.8									
0	32	804.1	8									
0	32.125	804.1	8									
0	32.25	804.1	8.2									
0	32.375	804.1	8.5									
0	32.5	804.1	8.7									
0	32.625	804.1	9									
0	32.75	804.1	9.3									
0	32.875	804.1	9.6									
0	33	804.1	9.9									
0	33.125	804.1	9.9									
0	33.25	804.1	10.3									
0	33.375	804.1	10.7									
0	33.5	804.1	10.7									
0	33.625	804.1	10.7									
0	33.75	804	11									
0	33.875	803.9	11.1									
0	34	803.9	11.1									
0	34.125	803.9	11.4									
0	34.25	803.9	11.7									
0	34.375	803.8	11.9									
0	34.5	803.8	12									
0	34.625	803.9	12.4									
0	34.75	803.9	12.6									
0	34.875	804	12.7									
0	35	804.1	12.8									
0	35.125	804.3	12.9									
0	35.25	804.5	12.7									
0	35.375	804.8	12.5									
0	35.5	804.9	11.7									
0	35.625	805.2	9.9									
0	35.75	805.3	10.4									
0	35.875	805.3	9.6									
0	36	805.2	9.1									
0	36.125	805.2	10									
0	36.25	804.9	9.7									
0	36.375	804.8	9.6									
0	36.5	804.6	9.9									
0	36.625	804.5	9.8									
0	36.75	804.3	9.9									
0	36.875	804.2	9.9									
0	37	804.1	9.8									
0	37.125	803.9	9.9									
0	37.25	803.7	10.1									
0	37.375	803.6	10.2									
0	37.5	803.5	10.2									
0	37.625	803.5	10.2									
0	37.75	803.4	10.2									
0	37.875	803.3	10.2									
0	38	803.2	10.4									
0	38.125	803.2	10.5									
0	38.25	803.1	10.6									
0	38.375	803	10.8									
0	38.5	802.9	10.7									
0	38.625	802.9	10.6									
0	38.75	802.7	10.5									
0	38.875	802.6	10.4									
0	39	802.4	10.3									
0	39.125	802.3	10.5									
0	39.25	802.1	10.5									
0	39.375	802	10.7									
0	39.5	801.8	10.8									
0	39.625	801.6	10.8									
0	39.75	801.5	10.9									
0	39.875	801.4	11									
0	40	801.3	11									
0	40.125	801.3	10.9									
0	40.25	801.3	10.8									
0	40.375	801.3	10.7									
0	40.5	801.3	10.5									
0	40.625	801.4	10.4									
0	40.75	801.6	10.4									
0	40.875	801.8	10.1									
0	41	802	10									
0	41.125	802.3	9.7									
0	41.25	802.5	9.3									
0	41.375	802.7	9									
0	41.5	803	8.7									
0	41.625	803.2	8.4									
0	41.75	803.5	8									
0	41.875	803.8	7.7									
0	42	804.2	7.2									
0	42.125	804.5	6.6									
0	42.25	804.7	6.1									
0	42.375	805	5.6									
0	42.5	805.2	5.2									
0	42.625	805.5	4.7									
0	42.75	806	4.1									
0	42.875	806.4	3.5									
0	43	806.7	2.8									
0	43.125	806.9	1.9									
0	43.25	807.1	1.3									
0	43.375	807.2	0.9									
0	43.5	807.4	0.6									
0	43.625	807.5	0									
0	43.75	807.6	-0.5									
0	43.875	807.6	-1.1									
0	44	807.5	-1.5									
0	44.125	807.3	-1.8									
0	44.25	807.2	-1.9									
0	44.375	807	-1.9									
0	44.5	806.8	-1.9									
0	44.625	806.7	-2									
0	44.75	806.5	-2.1									
0	44.875	806.3	-2.2									
0	45	806.1	-2.2									
0	45.125	805.9	-2.1									
0	45.25	805.7	-1.8									
0	45.375	805.5	-1.8									
0	45.5	805.3	-1.8									
0	45.625	805.1	-1.7									
0	45.75	804.9	-1.6									
0	45.875	804.6	-1.5									
0	46	804.4	-1.2									
0	46.125	804.2	-0.8									
0	46.25	804	-0.4									
0	46.375	803.9	0									
0	46.5	803.8	0.3									
0	46.625	803.7	0.5									
0	46.75	803.7	0.7									
0	46.875	803.7	1									
0	47	803.7	1.2									
0	47.125	803.7	1.6									
0	47.25	803.8	1.7									
0	47.375	804	0.7									
0	47.5	804.3	0									
0	47.625	804.4	-0.2									
0	47.75	804.6	-0.6									
0	47.875	804.6	0.3									
0	48	804.6	1.6									
0	48.125	804.6	2.1									
0	48.25	804.5	2.5									
0	48.375	804.4	2.9									
0	48.5	804.3	3.2									
0	48.625	804.3	3.5									
0	48.75	804.2	3.7									
0	48.875	804.1	4									
0	49	804.1	4.2									
0	49.125	804.1	4.4									
0	49.25	804.1	4.5									
0	49.375	804	4.6									
0	49.5	804	4.7									
0	49.625	804	4.7									
0	49.75	804	4.8									
